Algoritmo,Nome_Algoritmo,Tamanho,Tipo_Entrada,Tempo_Segundos
1,Bubble_Original,10,c,0.000
2,Bubble_Melhorado,10,c,0.000
3,Insertion_Sort,10,c,0.000
4,Mergesort,10,c,0.000
5,Quicksort_Ultimo,10,c,0.000
6,Quicksort_Aleatorio,10,c,0.000
7,Quicksort_Mediana3,10,c,0.000
8,Heapsort,10,c,0.000
1,Bubble_Original,10,d,0.000
2,Bubble_Melhorado,10,d,0.000
3,Insertion_Sort,10,d,0.000
4,Mergesort,10,d,0.000
5,Quicksort_Ultimo,10,d,0.000
6,Quicksort_Aleatorio,10,d,0.000
7,Quicksort_Mediana3,10,d,0.000
8,Heapsort,10,d,0.000
1,Bubble_Original,10,a,0.000
2,Bubble_Melhorado,10,a,0.000
3,Insertion_Sort,10,a,0.000
4,Mergesort,10,a,0.000
5,Quicksort_Ultimo,10,a,0.000
6,Quicksort_Aleatorio,10,a,0.000
7,Quicksort_Mediana3,10,a,0.000
8,Heapsort,10,a,0.000
1,Bubble_Original,100,c,0.000
2,Bubble_Melhorado,100,c,0.000
3,Insertion_Sort,100,c,0.000
4,Mergesort,100,c,0.000
5,Quicksort_Ultimo,100,c,0.000
6,Quicksort_Aleatorio,100,c,0.000
7,Quicksort_Mediana3,100,c,0.000
8,Heapsort,100,c,0.000
1,Bubble_Original,100,d,0.000
2,Bubble_Melhorado,100,d,0.000
3,Insertion_Sort,100,d,0.000
4,Mergesort,100,d,0.000
5,Quicksort_Ultimo,100,d,0.000
6,Quicksort_Aleatorio,100,d,0.000
7,Quicksort_Mediana3,100,d,0.000
8,Heapsort,100,d,0.000
1,Bubble_Original,100,a,0.000
2,Bubble_Melhorado,100,a,0.000
3,Insertion_Sort,100,a,0.000
4,Mergesort,100,a,0.000
5,Quicksort_Ultimo,100,a,0.000
6,Quicksort_Aleatorio,100,a,0.000
7,Quicksort_Mediana3,100,a,0.000
8,Heapsort,100,a,0.000
1,Bubble_Original,1000,c,0.002
2,Bubble_Melhorado,1000,c,0.000
3,Insertion_Sort,1000,c,0.000
4,Mergesort,1000,c,0.000
5,Quicksort_Ultimo,1000,c,0.002
6,Quicksort_Aleatorio,1000,c,0.000
7,Quicksort_Mediana3,1000,c,0.000
8,Heapsort,1000,c,0.000
1,Bubble_Original,1000,d,0.003
2,Bubble_Melhorado,1000,d,0.003
3,Insertion_Sort,1000,d,0.001
4,Mergesort,1000,d,0.000
5,Quicksort_Ultimo,1000,d,0.002
6,Quicksort_Aleatorio,1000,d,0.000
7,Quicksort_Mediana3,1000,d,0.000
8,Heapsort,1000,d,0.000
1,Bubble_Original,1000,a,0.003
2,Bubble_Melhorado,1000,a,0.003
3,Insertion_Sort,1000,a,0.001
4,Mergesort,1000,a,0.000
5,Quicksort_Ultimo,1000,a,0.000
6,Quicksort_Aleatorio,1000,a,0.000
7,Quicksort_Mediana3,1000,a,0.000
8,Heapsort,1000,a,0.000
1,Bubble_Original,10000,c,0.039
2,Bubble_Melhorado,10000,c,0.000
3,Insertion_Sort,10000,c,0.000
4,Mergesort,10000,c,0.001
5,Quicksort_Ultimo,10000,c,0.056
6,Quicksort_Aleatorio,10000,c,0.001
7,Quicksort_Mediana3,10000,c,0.001
8,Heapsort,10000,c,0.002
1,Bubble_Original,10000,d,0.061
2,Bubble_Melhorado,10000,d,0.061
3,Insertion_Sort,10000,d,0.019
4,Mergesort,10000,d,0.001
5,Quicksort_Ultimo,10000,d,0.048
6,Quicksort_Aleatorio,10000,d,0.000
7,Quicksort_Mediana3,10000,d,0.000
8,Heapsort,10000,d,0.002
1,Bubble_Original,10000,a,0.096
2,Bubble_Melhorado,10000,a,0.099
3,Insertion_Sort,10000,a,0.011
4,Mergesort,10000,a,0.001
5,Quicksort_Ultimo,10000,a,0.002
6,Quicksort_Aleatorio,10000,a,0.003
7,Quicksort_Mediana3,10000,a,0.002
8,Heapsort,10000,a,0.002
1,Bubble_Original,100000,c,3.888
2,Bubble_Melhorado,100000,c,0.000
3,Insertion_Sort,100000,c,0.001
4,Mergesort,100000,c,0.013
5,Quicksort_Ultimo,100000,c,3.297
6,Quicksort_Aleatorio,100000,c,0.005
7,Quicksort_Mediana3,100000,c,0.006
8,Heapsort,100000,c,0.021
1,Bubble_Original,100000,d,6.025
2,Bubble_Melhorado,100000,d,6.047
3,Insertion_Sort,100000,d,1.949
4,Mergesort,100000,d,0.009
5,Quicksort_Ultimo,100000,d,2.920
6,Quicksort_Aleatorio,100000,d,0.008
7,Quicksort_Mediana3,100000,d,0.012
8,Heapsort,100000,d,0.020
1,Bubble_Original,100000,a,12.145
2,Bubble_Melhorado,100000,a,12.716
3,Insertion_Sort,100000,a,0.968
4,Mergesort,100000,a,0.010
5,Quicksort_Ultimo,100000,a,0.008
6,Quicksort_Aleatorio,100000,a,0.026
7,Quicksort_Mediana3,100000,a,0.023
8,Heapsort,100000,a,0.028
4,Mergesort,500000,c,0.045
6,Quicksort_Aleatorio,500000,c,0.048
7,Quicksort_Mediana3,500000,c,0.029
8,Heapsort,500000,c,0.053
4,Mergesort,500000,d,0.043
6,Quicksort_Aleatorio,500000,d,0.050
7,Quicksort_Mediana3,500000,d,0.042
8,Heapsort,500000,d,0.063
4,Mergesort,500000,a,0.081
6,Quicksort_Aleatorio,500000,a,0.069
7,Quicksort_Mediana3,500000,a,0.068
8,Heapsort,500000,a,0.081
4,Mergesort,5000000,c,0.186
6,Quicksort_Aleatorio,5000000,c,0.193
7,Quicksort_Mediana3,5000000,c,0.085
8,Heapsort,5000000,c,0.357
4,Mergesort,5000000,d,0.176
6,Quicksort_Aleatorio,5000000,d,0.208
7,Quicksort_Mediana3,5000000,d,0.174
8,Heapsort,5000000,d,0.359
4,Mergesort,5000000,a,0.604
6,Quicksort_Aleatorio,5000000,a,0.430
7,Quicksort_Mediana3,5000000,a,0.389
8,Heapsort,5000000,a,1.498
4,Mergesort,50000000,c,2.208
6,Quicksort_Aleatorio,50000000,c,2.004
7,Quicksort_Mediana3,50000000,c,0.959
8,Heapsort,50000000,c,4.095
4,Mergesort,50000000,d,2.098
6,Quicksort_Aleatorio,50000000,d,2.177
7,Quicksort_Mediana3,50000000,d,2.067
8,Heapsort,50000000,d,4.242
4,Mergesort,50000000,a,6.900
6,Quicksort_Aleatorio,50000000,a,4.755
7,Quicksort_Mediana3,50000000,a,4.409
8,Heapsort,50000000,a,31.310
