Nome_Algoritmo,Tamanho,Tipo_Entrada,Tempo_Medio
Quicksort_Aleatorio,10,a,0
Quicksort_Aleatorio,10,c,0
Quicksort_Aleatorio,10,d,0
Quicksort_Aleatorio,100,a,0
Quicksort_Aleatorio,100,c,0
Quicksort_Aleatorio,100,d,0
Quicksort_Aleatorio,1000,a,0
Quicksort_Aleatorio,1000,c,0
Quicksort_Aleatorio,1000,d,0
Quicksort_Aleatorio,10000,a,0.003
Quicksort_Aleatorio,10000,c,0.001
Quicksort_Aleatorio,10000,d,0
Quicksort_Aleatorio,100000,a,0.026
Quicksort_Aleatorio,100000,c,0.005
Quicksort_Aleatorio,100000,d,0.008
Quicksort_Aleatorio,500000,a,0.069
Quicksort_Aleatorio,500000,c,0.048
Quicksort_Aleatorio,500000,d,0.05
Quicksort_Aleatorio,5000000,a,0.43
Quicksort_Aleatorio,5000000,c,0.193
Quicksort_Aleatorio,5000000,d,0.208
Quicksort_Aleatorio,50000000,a,4.755
Quicksort_Aleatorio,50000000,c,2.004
Quicksort_Aleatorio,50000000,d,2.177
Quicksort_Mediana3,10,a,0
Quicksort_Mediana3,10,c,0
Quicksort_Mediana3,10,d,0
Quicksort_Mediana3,100,a,0
Quicksort_Mediana3,100,c,0
Quicksort_Mediana3,100,d,0
Quicksort_Mediana3,1000,a,0
Quicksort_Mediana3,1000,c,0
Quicksort_Mediana3,1000,d,0
Quicksort_Mediana3,10000,a,0.002
Quicksort_Mediana3,10000,c,0.001
Quicksort_Mediana3,10000,d,0
Quicksort_Mediana3,100000,a,0.023
Quicksort_Mediana3,100000,c,0.006
Quicksort_Mediana3,100000,d,0.012
Quicksort_Mediana3,500000,a,0.068
Quicksort_Mediana3,500000,c,0.029
Quicksort_Mediana3,500000,d,0.042
Quicksort_Mediana3,5000000,a,0.389
Quicksort_Mediana3,5000000,c,0.085
Quicksort_Mediana3,5000000,d,0.174
Quicksort_Mediana3,50000000,a,4.409
Quicksort_Mediana3,50000000,c,0.959
Quicksort_Mediana3,50000000,d,2.067
Quicksort_Ultimo,10,a,0
Quicksort_Ultimo,10,c,0
Quicksort_Ultimo,10,d,0
Quicksort_Ultimo,100,a,0
Quicksort_Ultimo,100,c,0
Quicksort_Ultimo,100,d,0
Quicksort_Ultimo,1000,a,0
Quicksort_Ultimo,1000,c,0.002
Quicksort_Ultimo,1000,d,0.002
Quicksort_Ultimo,10000,a,0.002
Quicksort_Ultimo,10000,c,0.056
Quicksort_Ultimo,10000,d,0.048
Quicksort_Ultimo,100000,a,0.008
Quicksort_Ultimo,100000,c,3.297
Quicksort_Ultimo,100000,d,2.92
