Tamanho,Tipo_Entrada,Nome_Algoritmo,Tempo_Segundos
10,a,Bubble_Original,0
10,a,Bubble_Melhorado,0
10,a,Insertion_Sort,0
10,a,Mergesort,0
10,a,Quicksort_Ultimo,0
10,a,Quicksort_Aleatorio,0
10,a,Quicksort_Mediana3,0
10,a,Heapsort,0
10,c,Bubble_Original,0
10,c,Bubble_Melhorado,0
10,c,Insertion_Sort,0
10,c,Mergesort,0
10,c,Quicksort_Ultimo,0
10,c,Quicksort_Aleatorio,0
10,c,Quicksort_Mediana3,0
10,c,Heapsort,0
10,d,Bubble_Original,0
10,d,Bubble_Melhorado,0
10,d,Insertion_Sort,0
10,d,Mergesort,0
10,d,Quicksort_Ultimo,0
10,d,Quicksort_Aleatorio,0
10,d,Quicksort_Mediana3,0
10,d,Heapsort,0
100,a,Bubble_Original,0
100,a,Bubble_Melhorado,0
100,a,Insertion_Sort,0
100,a,Mergesort,0
100,a,Quicksort_Ultimo,0
100,a,Quicksort_Aleatorio,0
100,a,Quicksort_Mediana3,0
100,a,Heapsort,0
100,c,Bubble_Original,0
100,c,Bubble_Melhorado,0
100,c,Insertion_Sort,0
100,c,Mergesort,0
100,c,Quicksort_Ultimo,0
100,c,Quicksort_Aleatorio,0
100,c,Quicksort_Mediana3,0
100,c,Heapsort,0
100,d,Bubble_Original,0
100,d,Bubble_Melhorado,0
100,d,Insertion_Sort,0
100,d,Mergesort,0
100,d,Quicksort_Ultimo,0
100,d,Quicksort_Aleatorio,0
100,d,Quicksort_Mediana3,0
100,d,Heapsort,0
1000,a,Mergesort,0
1000,a,Quicksort_Ultimo,0
1000,a,Quicksort_Aleatorio,0
1000,a,Quicksort_Mediana3,0
1000,a,Heapsort,0
1000,c,Bubble_Melhorado,0
1000,c,Insertion_Sort,0
1000,c,Mergesort,0
1000,c,Quicksort_Aleatorio,0
1000,c,Quicksort_Mediana3,0
1000,c,Heapsort,0
1000,d,Mergesort,0
1000,d,Quicksort_Aleatorio,0
1000,d,Quicksort_Mediana3,0
1000,d,Heapsort,0
10000,a,Mergesort,0.001
10000,c,Bubble_Melhorado,0
10000,c,Insertion_Sort,0
10000,d,Quicksort_Aleatorio,0
10000,d,Quicksort_Mediana3,0
100000,a,Quicksort_Ultimo,0.008
100000,c,Bubble_Melhorado,0
100000,d,Quicksort_Aleatorio,0.008
500000,a,Quicksort_Mediana3,0.068
500000,c,Quicksort_Mediana3,0.029
500000,d,Quicksort_Mediana3,0.042
5000000,a,Quicksort_Mediana3,0.389
5000000,c,Quicksort_Mediana3,0.085
5000000,d,Quicksort_Mediana3,0.174
50000000,a,Quicksort_Mediana3,4.409
50000000,c,Quicksort_Mediana3,0.959
50000000,d,Quicksort_Mediana3,2.067
